block_num,con_num,trial,free_choice,show_points,even_uneven,num_segments,selected_segment,selected_prob,win
4,8,25,0,0,0,8,1,0.46,1
4,8,26,0,0,0,8,4,0.51,0
4,8,27,0,0,0,8,5,0.57,0
4,8,28,0,0,0,8,3,0.4,0
4,8,29,0,0,0,8,4,0.51,0
4,8,30,0,0,0,8,3,0.4,0
4,8,31,0,0,0,8,3,0.4,0
4,8,32,0,0,0,8,6,0.49,0
4,8,33,0,0,0,8,8,0.6,0
4,8,34,0,0,0,8,6,0.49,1
4,8,35,0,0,0,8,4,0.51,0
4,8,36,0,0,0,8,4,0.51,1
4,8,37,0,0,0,8,2,0.54,0
4,8,38,0,0,0,8,7,0.43,0
4,8,39,0,0,0,8,0,0,0
5,7,1,1,0,0,4,4,0.53,1
5,7,2,1,0,0,4,3,0.47,0
5,7,3,1,0,0,4,1,0.6,0
5,7,4,1,0,0,4,4,0.53,1
5,7,5,0,0,0,4,1,0.6,1
5,7,6,0,0,0,4,4,0.53,1
5,7,7,0,0,0,4,1,0.6,1
5,7,8,0,0,0,4,1,0.6,1
5,7,9,0,0,0,4,4,0.53,0
5,7,10,0,0,0,4,4,0.53,1
5,7,11,0,0,0,4,1,0.6,1
5,7,12,0,0,0,4,1,0.6,1
5,7,13,0,0,0,4,3,0.47,0
5,7,14,0,0,0,4,2,0.4,0
5,7,15,0,0,0,4,3,0.47,0
5,7,16,0,0,0,4,3,0.47,0
5,7,17,0,0,0,4,2,0.4,1
5,7,18,0,0,0,4,2,0.4,0
5,7,19,0,0,0,4,2,0.4,0
5,7,20,0,0,0,4,1,0.6,1
5,7,21,0,0,0,4,4,0.53,1
5,7,22,0,0,0,4,1,0.6,1
5,7,23,0,0,0,4,3,0.47,0
5,7,24,0,0,0,4,1,0.6,1
5,7,25,0,0,0,4,3,0.47,1
5,7,26,0,0,0,4,1,0.6,0
5,7,27,0,0,0,4,1,0.6,1
5,7,28,0,0,0,4,2,0.4,0
5,7,29,0,0,0,4,4,0.53,0
5,7,30,0,0,0,4,2,0.4,0
5,7,31,0,0,0,4,1,0.6,0
5,7,32,0,0,0,4,4,0.53,1
5,7,33,0,0,0,4,2,0.4,1
5,7,34,0,0,0,4,1,0.6,0
5,7,35,0,0,0,4,0,0,0
6,2,1,1,1,1,8,3,0.43,0
6,2,2,1,1,1,8,5,0.46,1
6,2,3,1,1,1,8,4,0.51,1
6,2,4,1,1,1,8,3,0.43,0
6,2,5,1,1,1,8,3,0.43,0
6,2,6,1,1,1,8,1,0.49,0
6,2,7,1,1,1,8,8,0.54,1
6,2,8,1,1,1,8,6,0.4,1
6,2,9,0,1,1,8,8,0.54,1
6,2,10,0,1,1,8,1,0.49,1
6,2,11,0,1,1,8,2,0.57,1
6,2,12,0,1,1,8,1,0.49,0
6,2,13,0,1,1,8,5,0.46,0
6,2,14,0,1,1,8,1,0.49,1
6,2,15,0,1,1,8,2,0.57,1
6,2,16,0,1,1,8,7,0.6,1
6,2,17,0,1,1,8,8,0.54,1
6,2,18,0,1,1,8,3,0.43,0
6,2,19,0,1,1,8,5,0.46,0
6,2,20,0,1,1,8,5,0.46,1
6,2,21,0,1,1,8,6,0.4,1
6,2,22,0,1,1,8,1,0.49,0
6,2,23,0,1,1,8,1,0.49,0
6,2,24,0,1,1,8,8,0.54,0
6,2,25,0,1,1,8,5,0.46,1
6,2,26,0,1,1,8,8,0.54,0
6,2,27,0,1,1,8,2,0.57,1
6,2,28,0,1,1,8,1,0.49,0
6,2,29,0,1,1,8,1,0.49,1
6,2,30,0,1,1,8,1,0.49,1
6,2,31,0,1,1,8,3,0.43,1
6,2,32,0,1,1,8,2,0.57,1
6,2,33,0,1,1,8,8,0.54,1
6,2,34,0,1,1,8,2,0.57,1
6,2,35,0,1,1,8,3,0.43,1
